id phlove phconf xhachfe xhdepres 
 102    79   15   10    0
 103    80   19    7    3
 105    81   14    3    9
 106    78   16    5    0
 107    78   22   11   14
 108    79   20   10    6
 110    65   23    9    8
 111    77   31   10   12
 112    82   30   10    8
 115    69   21    3    0
 116    74   27    3    0
 201    74   29   13    8
 202    46   16    9    1
 203    88    9    5    0
 204    67   19   12    3
 205    61   27    4    1
 207    76   26    1    1
 209    87   28    8    0
 210    66   26   10   16
 212    79   26    0    4
 213    81   16    6    8
 214    79   25    3    8
 215    52   18   16    9
 216    79   20    7    3
 301    74   16   10    3
 302    77   14   16   11
 303    80   22    6    1
 305    80   21    6    8
 308    86   19    7    6
 309    86   20   11   28
 310    76   31    6    7
 313    85   24    3   17
 315    76   10    7    2
 316    78   14    3    3
 319    86   17    3    1
 401    77   23    1    2
 402    77   26   17   16
 404    72   16    5    4
 407    81   15    5    5
 408    54   31    7    0
 409    76   19    5   10
 410    72   21   11    2
 412    82   17    7    6
 413    77    5   12    2
 414    73   18   10    3
 415    81   28   16    1
 501    77   19    7    6
 502    79   16    4    3
 503    87    6    6    6
 510    84   25   28   16
 511    76   23    7    1
 512    66   29   13   38
 515    76   19    5    5
 516    68   24    7   13
 517    74   19    8    3
 519    73   23   11    1
 520    79   18   13   16
 521    80   21    5    3
 522    79   19    9    4
 523    76   22   17   15
 524    77   19   10   12
 526    55   22   15   15
 527    78   25    5    3
 528    73   26   16    6
 530    85   20    7    5
 531    69   21    6    5
 532    38   23    7    3
 535    89   16    2    3
 537    62    9   16    3
 538    83   15    6    3
 540    87   17    9    6
 541    84   20    7    1
 542    80   19    6    0
 543    84   11    7   13
 544    84   14   12    0
 546    88   24    7    2
 547    65   24    7   14
 548    87    7    6    4
 549    56   13    4    6
 550    83   23   12    9
 551    82   27   15    3
 553    79   20   13   13
 554    74   20    5    7
 556    89   11    1    5
 557    83   16   16    1
 558    60   26   10   19
 559    72   21    7   35
 561    82   15    8    3
 562    64   29   17   12
 563    86   11    5    2
 564    88   19    6    7
 565    89   14    4    2
 566    70   34    3   14
 569    83   17    5   36
 570    70   20    2    6
 572    77   18    6    7
 573    87   15    8    6
 575    71   27    8    6
 576    71   14    6    0
 577    82   17    6   10
 578    49   23   18    4
 580    88   16    0    8
 582    75   23    4    2
 583    75   14   14   35
 585    85   18    9    0
 586    73   16    9   11
 587    77   26    6    6
 588    68   12    8    2
 589    66   21    1    6
 590    78   17   12   15
 591    78   18   24   15
 592    79   17   14    2
 594    80   21    6    3
 599    72   18    7   13
 603    77   26   12    0
 605    73   23    3    5
 607    86   23    8   11
 609    85   16   13    7
 610    67   27   10    4
 612    56   37   22    8
 614    69   27   24   14
 615    61   29   12   18
 616    86   19    5    0
 618    86   19   15   11
 619    84   17   13    8
 620    79   11    6    2
